"Date";"Valeurs"
"13/05/2020";2973.77
"14/05/2020";2899.51
"15/05/2020";2932.21
"18/05/2020";3026.69
"19/05/2020";2960.89
"20/05/2020";2994.7
"21/05/2020";2940.62
"22/05/2020";2962.73
"25/05/2020";3003.88
"26/05/2020";3165.46
"27/05/2020";3234.07
"28/05/2020";3281.9
"29/05/2020";3202.95
"01/06/2020";3268.03
"02/06/2020";3320.42
"03/06/2020";3427.24
"04/06/2020";3449.89
"05/06/2020";3540
"08/06/2020";3535.11
"09/06/2020";3487.33
"10/06/2020";3442.66
"11/06/2020";3271.68
"12/06/2020";3296.63
"15/06/2020";3339.35
"16/06/2020";3447.65
"17/06/2020";3440.91
"18/06/2020";3413.96
"19/06/2020";3376.57
"22/06/2020";3383.27
"23/06/2020";3433.88
"24/06/2020";3301.53
"25/06/2020";3357
"26/06/2020";3304.54
"29/06/2020";3326.33
"30/06/2020";3328.01
"01/07/2020";3331.99
"02/07/2020";3402.46
"03/07/2020";3393.25
"06/07/2020";3473.18
"07/07/2020";3462.83
"08/07/2020";3418.91
"09/07/2020";3393.61
"10/07/2020";3442.06
"13/07/2020";3478.27
"14/07/2020";3457.77
"15/07/2020";3500.87
"16/07/2020";3499.3
"17/07/2020";3491.16
"20/07/2020";3526.91
"21/07/2020";3553.27
"22/07/2020";3501.65
"23/07/2020";3492.06
"24/07/2020";3435.43
"27/07/2020";3407.46
"28/07/2020";3436.7
"29/07/2020";3405.62
"30/07/2020";3340.48
"31/07/2020";3273.37
"03/08/2020";3322.99
"04/08/2020";3320.71
"05/08/2020";3330.49
"06/08/2020";3308.63
"07/08/2020";3340.1
"10/08/2020";3355.27
"11/08/2020";3433.6
"12/08/2020";3466.87
"13/08/2020";3447.14
"14/08/2020";3422
"17/08/2020";3426.17
"18/08/2020";3393.24
"19/08/2020";3375.6
"20/08/2020";3337.62
"21/08/2020";3302.92
"24/08/2020";3368.99
"25/08/2020";3369.52
"26/08/2020";3400.38
"27/08/2020";3370.25
"28/08/2020";3378.6
"31/08/2020";3332.53
"01/09/2020";3314.23
